title	importance
Folding@home	mid
Illumina, Inc.	low
Last universal common ancestor	mid
AlphaFold	high
Joseph DeRisi	low
Mathematical modelling of infectious diseases	low
Superspreading event	high
Cladistics	mid
Systems theory	mid
Martin Kulldorff	low
Clade	mid
Matthews correlation coefficient	unknown
CRISPR	top
DNA sequencing	high
Bioinformatics	top
Protein structure prediction	high
Cellular automaton	low
Ontology (information science)	high
Synthetic biology	mid
Dynamic programming	top
Maximum parsimony (phylogenetics)	high
Michaelis–Menten kinetics	top
Circular permutation in proteins	low
Rat Genome Database	low
Non-coding DNA	low
George Church (geneticist)	mid
Compartmental models in epidemiology	mid
Biostatistics	top
Rosetta@home	mid
Probabilistic context-free grammar	high
Epigenome-wide association study	low
23andMe	low
Metagenomics	mid
Wellcome Sanger Institute	low
Whole genome sequencing	high
Molecular phylogenetics	high
Proteomics	high
List of bioinformatics companies	mid
Genome-wide association study	high
Dehydron	low
Minimum evolution	high
List of protein structure prediction software	mid
Mathematical and theoretical biology	top
Protein–protein interaction	high
Society for Mathematical Biology	high
Ancient protein	low
Solvation shell	low
Biological computing	mid
Ontario Institute for Cancer Research	low
PLOS Computational Biology	high
Transcriptomics technologies	high
Interactome	mid
Exome sequencing	high
Genomics	high
K-mer	mid
Human Genome Organisation	low
10x Genomics	mid
Junk DNA	low
Orphanet	low
Evolving digital ecological network	low
Dehaene–Changeux model	low
Hidden Markov model	top
List of MeSH codes	mid
Burrows–Wheeler transform	mid
Swiss-model	mid
David T. Jones (biochemist)	mid
Genetic programming	mid
Cathy Tie	low
Web-based taxonomy	unknown
List of sequence alignment software	high
Synthetic biological circuit	low
ABCdb	low
BioNumbers	low
National Center for Biotechnology Information	low
Computational epigenetics	mid
Umbrella sampling	low
Statistical Applications in Genetics and Molecular Biology	low
Omics	mid
Peter Donnelly	low
Visible Embryo Project	low
DeMix	low
Online Mendelian Inheritance in Man	mid
454 Life Sciences	low
List of molecular graphics systems	mid
Haldane's dilemma	low
National DNA database	low
Barry Smith (ontologist)	low
Bioinformatics workflow management system	low
Debora Marks	mid
Long branch attraction	low
Heat map	high
Gene regulatory network	high
BioLinux	low
GeneCalling	low
List of bioinformatics journals	low
Environmental DNA	low
Hypercycle (chemistry)	low
AstridBio	low
ChIP sequencing	mid
GeneNetwork	low
Protein superfamily	high
Significance analysis of microarrays	low
Medical Subject Headings	mid
PubChem	mid
Most recent common ancestor	high
Ecosystem model	mid
Intelligent Systems for Molecular Biology	low
ENCODE	mid
Weasel program	low
Multiple sequence alignment	high
Sequence motif	high
Protein Data Bank	high
Systems biology	top
CLC bio	low
GROMACS	low
WAIFW matrix	low
Epitranscriptome	low
Schrödinger, Inc.	low
Alan Hodgkin	low
Complex systems biology	low
List of open-source bioinformatics software	high
ANOVA–simultaneous component analysis	low
AnimalTFDB	low
Gene expression profiling	high
Jmol	mid
Proteopedia	low
Spurious relationship	low
OMPdb	low
BioNumerics	low
Molecular clock	high
Michael Levitt (biophysicist)	low
Malaria Control Project	low
Computational neuroscience	top
Atlas of UTR Regulatory Activity	low
Comparison of nucleic acid simulation software	mid
Metabarcoding	low
MARTINI	mid
PDBsum	mid
Flow cytometry bioinformatics	low
Khimera	low
OME Care	low
Multi-Omics Profiling Expression Database	low
Receiver operating characteristic	mid
Michael Langston	low
Bioinformatics Resource Centers	low
World Community Grid	low
C. H. Waddington	low
Taxonomic database	mid
BitterDB	low
What Is Life?	low
ABI Solid Sequencing	low
GeneMark	low
DNA sequencer	low
Random coil index	mid
Functional element SNPs database	low
Alternative Splicing Annotation Project	low
Intrinsically disordered proteins	mid
Baum–Welch algorithm	mid
Encyclopedia of Life	mid
Journal of Computational Biology	low
Gustavo Stolovitzky	mid
Interaction network	mid
Smith–Waterman algorithm	top
Rolf Apweiler	low
Mark A. O'Neill	low
Polygenic score	mid
Position weight matrix	top
Structural bioinformatics	high
List of algorithms	mid
Gene prediction	high
Holland's schema theorem	low
Mona Singh (scientist)	mid
Chemical graph generator	mid
Population viability analysis	mid
Systems biomedicine	low
Phylogenetics	top
Webtag	low
Modelling biological systems	high
Diseases Database	mid
DPVweb	low
ISCB Senior Scientist Award	low
The Institute for Genomic Research	low
Planted motif search	low
Pierre Baldi	low
Biochemical cascade	mid
Alternative Splicing and Transcript Diversity database	low
Maqsudul Alam	low
Coot (software)	low
Root mean square deviation of atomic positions	mid
Exon-intron database	low
Human-transcriptome DataBase for Alternative Splicing	low
MEME suite	low
Terminology for the Description of Dynamics	low
Animal Genome Size Database	low
DNA microarray	top
List of software for Monte Carlo molecular modeling	mid
Biodiversity informatics	mid
Biological systems engineering	low
Carole Goble	low
Wikispecies	mid
CaBIG	low
Artade	low
Activity-driven model	low
Structural alignment software	high
RNA-Seq	top
Michaelis–Menten–Monod kinetics	low
Molecular Systems Biology	mid
CaGrid	low
Gene chip analysis	low
Tree-Puzzle	low
Pardis Sabeti	low
Cancer systems biology	low
Needleman–Wunsch algorithm	mid
BMC Systems Biology	low
Systems immunology	low
Entrez	mid
Igor Goryanin	low
Human Protein Reference Database	low
Phenome	unknown
Gene Ontology	high
FitzHugh–Nagumo model	low
Shoshana Wodak	mid
BMC Bioinformatics	low
Hindmarsh–Rose model	low
ProRepeat	low
Shapiro–Senapathy algorithm	low
Systems neuroscience	mid
